"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2VX6L29L","conferencePaper","2026","Brarda, P.G.; Fernandez, G.; Ayala, N.F.","Digital Twin, Digital Shadow or Digital Model? A Systematic Literature Review","IFIP Advances in Information and Communication Technology","1868422X (ISSN); 18684238 (ISSN); 9783032007766 (ISBN); 9783031962301 (ISBN); 9783031949234 (ISBN); 9783031971143 (ISBN); 9783031962387 (ISBN); 9783031965210 (ISBN); 9780387291215 (ISBN); 9783319900223 (ISBN); 9783319162737 (ISBN); 1402080697 (ISBN)","","10.1007/978-3-032-03538-7_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015479266&doi=10.1007%2F978-3-032-03538-7_22&partnerID=40&md5=f4812bfa7bde5366bad1c4f8aa0ac42b","This study explores the evolution of the Digital Factory in the context of Industry 4.0, focusing on progression through the Digital Model, Digital Shadow and Digital Twin stages. It addresses a gap in the literature by differentiating these concepts, identifying their objectives and the technologies associated with each level. For this, a systematic review of the literature was carried out, using keyword combinations to identify relevant articles in the Scopus, Web of Science and Science Direct databases. In total, 47 articles were analyzed, allowing the development of a comprehensive understanding of the Digital Factory's technological internships and enablers. The study presents a conceptual framework that illustrates the transition from the Digital Model to the Digital Shadow and the Digital Twin, highlighting its transformative impact on manufacturing processes, with capabilities such as dynamic simulations, real-time monitoring, and predictive analytics. Technologies such as sensors, IoT, simulation, and artificial intelligence are analyzed at different levels of maturity. The results offer actionable insights for decision-makers, shedding light on the capabilities, hierarchies, and taxonomies of Digital Factory stages. In addition, a modular approach is proposed, which allows flexibility to meet the specific needs of projects, while ensuring scalability. The findings also serve as a resource for the development of roadmaps and budgets, facilitating successful implementations of the Digital Factory. This study contributes in an innovative way by systematically differentiating the concepts of Digital Model, Digital Shadow and Digital Twin, advancing both the theoretical understanding and the practical application of the Digital Factory in Industry 4.0. © 2025 Elsevier B.V., All rights reserved.","2026","2025-11-16 16:07:45","2025-11-20 12:03:47","","306-319","","","766 IFIPAICT","","","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","Journal Abbreviation: IFIP Advances in Information and Communication Technology","","C:\Users\jvcte\Zotero\storage\DB5X3BR9\Brarda et al. - 2026 - Digital Twin, Digital Shadow or Digital Model A Systematic Literature Review.pdf","","Artificial intelligence; Internet of things; Industry 4.0; Systematic literature review; Digital Twin; Digital twin; Digital Factory; Budget control; Conceptual frameworks; Decision making; Digital factories; Digital Model; Digital modeling; Digital shadow; Digital Shadow; Dynamics simulation; Information systems; Information use; Manufacturing process; Real time monitoring; Systematic Review; Web of Science; included","","Mizuyama, H.; Morinaga, E.; Nonaka, T.; Kaihara, T.; von Cieminski, G.; Romero, D.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IFIP Advances in Information and Communication Technology","","","","","","","","","","","","","","",""
"JMC9E8SA","journalArticle","2025","Antonesi, G.; Cioara, T.; Anghel, I.; Michalakopoulos, V.; Sarmas, E.; Toderean, L.","A systematic review of transformers and large language models in the energy sector: towards agentic digital twins","Applied Energy","","18729118 (ISSN); 03062619 (ISSN)","10.1016/j.apenergy.2025.126670","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013772709&doi=10.1016%2Fj.apenergy.2025.126670&partnerID=40&md5=c1cad25a7dc752b2dbd6cb8ee9706b33","Artificial intelligence (AI) has long promised to improve energy management in smart grids by enhancing situational awareness and supporting more effective decision-making. While traditional machine learning has demonstrated notable results in forecasting and optimization, it often struggles with generalization, situational awareness, and heterogeneous data integration. Recent advances in Transformer architecture, including Large Language Models (LLMs) and Foundation Models (FMs) can significantly improve the ability to model complex temporal and contextual relationships, as well as in multi-modal data fusion which is valuable for most AI applications in the energy sector. In this review, we synthesize the rapidly expanding field of AI applications in the energy domain, with a focus on Transformer Models (TMs) and LLMs, which have shown growing relevance. We examine the architectural foundations, domain-specific adaptations and practical implementations of TMs across various forecasting and grid management tasks. We then explore the emerging role of LLMs in the field: adaptation and fine tuning for the energy sector, the type of tasks they are suited for, and the new challenges they introduce. Along the way, we highlight practical implementations, innovations, and areas where the research frontier is rapidly expanding. These recent developments reviewed underscore a broader trend: Generative AI (GenAI) is beginning to augment decision-making not only in high-level planning but also in day-to-day operations, from forecasting and grid balancing to workforce training and asset onboarding. While FMs hold promises, we found limited evidence of their concrete application in energy domain to date. Therefore we introduce the concept of the Agentic Digital Twin, a next-generation model that integrates FMs to bring multi-modal situational awareness, autonomy, proactivity, and social interaction into digital twin-based energy management systems. We present the transformational impact of FMs to each phase of a digital twin and identify the open challenges that need to be addressed for their efficient and effective integration. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:45","2025-11-20 12:17:00","","","","","401","","Appl. Energy","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","","C:\Users\jvcte\Zotero\storage\BCXMWYPE\Antonesi et al. - 2025 - A systematic review of transformers and large language models in the energy sector towards agentic.pdf","","Artificial intelligence; machine learning; literature review; Large language models; Data integration; Digital twin; Agentic digital twins; Energy sector; Foundation models; GenAI; Generative AI; Smart grid; Transformers; Forecasting; Decision making; Agentic digital twin; Behavioral research; digitization; Electric transformers; energy management; Energy policy; Generative artificial intelligence; Language model; Large language model; Modal analysis; numerical model; Situational awareness; smart grid; Smart power grids; Transformer; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXIMSBB7","journalArticle","2025","Hunde, J.M.; Ochono, T.S.; Senevirathne, D.; Eneyew, D.D.; Bitsuamlak, G.T.; Capretz, M.A.M.; Grolinger, K.","Data-driven and physics-based modeling approaches and their integration in building digital twins: A systematic review","Journal of Building Engineering","","23527102 (ISSN)","10.1016/j.jobe.2025.114214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017734857&doi=10.1016%2Fj.jobe.2025.114214&partnerID=40&md5=c1f58863737ce1119fe9d5a1aa854ffb","Interest in digital twin technology has grown significantly within the building sector as part of the broader digital transformation in the architecture, engineering, and construction industry. A building digital twin is a virtual replica that captures a building's static and dynamic behavior through data, information, and models. Digital twin models can be developed using data-driven or physics-based approaches, each with distinct advantages and limitations. Data-driven models can learn complex behaviors from data and scale well, but they require large datasets and often lack interpretability. In contrast, physics-based models offer interpretability and generalizability through fundamental principles but can be computationally demanding. Consequently, building digital twins can benefit greatly from integrating both approaches through hybrid modeling. However, the literature lacks a comprehensive analysis of integration strategies within building digital twins. This study addresses that gap by reviewing advances in data-driven and physics-based modeling and analyzing various integration levels. The results show that most studies rely on siloed models, using either approach independently without leveraging their complementary strengths. Some adopted sequential integration, where one model informs the other but lacks real-time or iterative feedback. A few achieved coupled integration, involving active data exchange and collaboration between models. Only three studies explored fusion integration, where both approaches are fully unified into a single model. Based on this review, a method is proposed for selecting the appropriate level of integration, considering factors such as data availability, interpretability, generalizability, and domain knowledge. Finally, key research gaps and future directions are identified to guide further work. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:46","2025-11-20 11:17:37","","","","","114","","J. Build. Eng.","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","","C:\Users\jvcte\Zotero\storage\7NHBBRW7\Hunde et al. - 2025 - Data-driven and physics-based modeling approaches and their integration in building digital twins A.pdf","","Buildings; Data integration; Digital twin; Construction industry; Building digital twin; Data-driven modeling; Hybrid modeling; Model integration; Physics-based modeling; Systematic Review; Data driven; Building Information Model; Data-driven model; Electronic data interchange; Hybrid model; In-buildings; Integration; Interpretability; Iterative methods; Large datasets; Metadata; Modeling approach; Models integration; Physics-based models; Virtual reality; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6WDPIB7","journalArticle","2025","Sacoto-Cabrera, E.J.; Pérez-Torres, A.; Tello-Oquendo, L.; Cerrada, M.","IoT, AI, and Digital Twins in Smart Cities: A Systematic Review for a Thematic Mapping and Research Agenda","Smart Cities","","26246511 (ISSN)","10.3390/smartcities8050175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020198219&doi=10.3390%2Fsmartcities8050175&partnerID=40&md5=23e9e085154401155205b39c42dc136f","Highlights: What are the main findings? This paper presents an SLR comprising the analysis of 64 studies on Urban Digital Twins, IoT, and AI in the development of smart cities using the PRISMA framework. The review identifies three thematic groups and key research points, while revealing gaps such as limited empirical evidence and interoperability challenges. What is the implication of the main finding? This paper highlights the need for integrated, data-driven strategies to improve urban management and policies through Urban Digital Twins, IoT, and AI. The review allows proposing a research agenda to guide future innovations, supporting the development of more sustainable, resilient, and smart cities. The accelerating complexity of urban environments has prompted cities to adopt digital technologies that improve efficiency, sustainability, and resilience. Among these, Urban Digital Twins (UDTw) have emerged as transformative tools for real-time representation, simulation, and management of urban systems. This Systematic Literature Review (SLR) examines the integration of Digital Twins (DTw), the Internet of Things (IoT), and Artificial Intelligence (AI) into the Smart City Development (SCD). Following the PSALSAR framework and PRISMA 2020 guidelines, 64 peer-reviewed articles from IEEE Xplore, Association for Computing Machinery (ACM), Scopus, and Web of Science (WoS) digital libraries were analyzed by using bibliometric and thematic methods via the Bibliometrix package in R. The review allowed identifying key technological trends, such as edge–cloud, architectures, 3D immersive visualization, Generative AI (GenAI), and blockchain, and classifies UDTw applications into five domains: traffic management, urban planning, environmental monitoring, energy systems, and public services. Persistent challenges have been also outlined, including semantic interoperability, predictive modeling, data privacy, and impact evaluation. This study synthesizes the current state of the field, by clearly identifying a thematic mapping, and proposes a research agenda to align technical innovation with measurable urban outcomes, offering strategic insights for researchers, policymakers, and planners. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:47","2025-11-19 20:32:38","","","","5","8","","Smart. Cities.","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","C:\Users\jvcte\Zotero\storage\FG6MIIQF\Sacoto-Cabrera et al. - 2025 - IoT, AI, and Digital Twins in Smart Cities A Systematic Review for a Thematic Mapping and Research.pdf","","blockchain; smart cities; Internet of Things (IoT); Artificial Intelligence (AI); Digital Twins (DTw); edge–cloud architecture; interoperability; Systematic Literature Review (SLR); Urban Digital Twins (UDTw); urban planning; included; included.i1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQ3HWA3F","journalArticle","2025","Shah, U.M.; Minhas, D.M.; Kifayat, K.; Shah, K.A.; FREY, G.","Threat Modeling and Attacks on Digital Twins of Vehicles: A Systematic Literature Review","Smart Cities","","26246511 (ISSN)","10.3390/smartcities8050142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020026946&doi=10.3390%2Fsmartcities8050142&partnerID=40&md5=82ccf5690826dde27880a069d354bbe0","Highlights: What are the main findings? This paper conducts an in-depth review of 23 studies on threat modeling and security testing in automotive digital twins using the PRISMA framework. It identifies deficiencies and proposes improved methodologies to enhance current security and safety validation practices for interconnected automotive systems. What is the implication of the main finding? This paper highlights the need for more advanced threat modeling and emphasizes the importance of improving cybersecurity to prevent potential attacks on connected vehicles. It suggests future research and practical strategies for secure digital twin system design in the automotive sector, supporting the development of resilient smart urban environments through a robust interconnected vehicle security framework. This systematic literature review pioneers the synthesis of cybersecurity challenges for automotive digital twins (DTs), a critical yet underexplored frontier in connected vehicle security. The notion of digital twins, which act as simulated counterparts to real-world systems, is revolutionizing secure system design within the automotive sector. As contemporary vehicles become more dependent on interconnected electronic systems, the likelihood of cyber threats is escalating. This comprehensive literature review seeks to analyze existing research on threat modeling and security testing in automotive digital twins, aiming to pinpoint emerging patterns, evaluate current approaches, and identify future research avenues. Guided by the PRISMA framework, we rigorously analyze 23 studies from 882 publications to address three research questions: (1) How are threats to automotive DTs identified and assessed? (2) What methodologies drive threat modeling? Lastly, (3) what techniques validate threat models and simulate attacks? The novelty of this study lies in its structured classification of digital twin types (physics based, data driven, hybrid), its inclusion of a groundbreaking threat taxonomy across architectural layers (e.g., ECU tampering, CAN-Bus spoofing), the integration of the 5C taxonomy with layered architectures for DT security testing, and its analysis of domain-specific tools such as VehicleLang and embedded intrusion detection systems. The findings expose significant deficiencies in the strength and validation of threat models, highlighting the necessity for more adaptable and comprehensive testing methods. By exposing gaps in scalability, trust, and safety, and proposing actionable solutions aligned with UNECE R155, this SLR delivers a robust framework to advance secure DT development, empowering researchers and industry to fortify vehicle resilience against evolving cyber threats. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:47","2025-11-16 21:21:49","","","","5","8","","Smart. Cities.","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","C:\Users\jvcte\Zotero\storage\TIMI4M8N\Shah et al. - 2025 - Threat Modeling and Attacks on Digital Twins of Vehicles A Systematic Literature Review.pdf","","risk analysis; attack surface; automotive security; cybersecurity; risk assessment; included; included.i1; inclu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3H5AIY6V","journalArticle","2025","Chen, S.; Turanoglu Bekar, E.; Bokrantz, J.; Skoogh, A.","AI-enhanced digital twins in maintenance: Systematic review, industrial challenges, and bridging research–practice gaps","Journal of Manufacturing Systems","","02786125 (ISSN)","10.1016/j.jmsy.2025.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011843823&doi=10.1016%2Fj.jmsy.2025.07.006&partnerID=40&md5=59e79e71eab83ffa0cf8fec10c766bc6","The convergence of artificial intelligence (AI) and digital twin technology is reshaping maintenance strategies in the era of Industry 4.0. However, gaps persist between academic advancements and industrial adoption and expectation. This study systematically investigates the landscape of AI-enhanced digital twins for maintenance by integrating a systematic literature review (SLR) of related studies with in-depth interviews from industry practitioners. Our analysis reveals that while academia demonstrates robust applications of supervised, deep, and reinforcement learning to optimize digital twin models and prescribe data-driven actions, industrial implementation remains limited by challenges such as high scale dimension, data integration complexities, and insufficient workforce readiness. We identified and articulated three critical gap dimensions, scale, data, and model between academic research and industrial implementation and expectation. To bridge these gaps, we proposed a comprehensive five-layer framework for AI-enhanced digital twins, encompassing physical assets, data transmission, digital twins, AI analytics, and maintenance services. Actionable recommendations are provided, including the adoption of modular architectures, standardized data protocols, hybrid edge-cloud solutions, and targeted workforce upskilling. Our findings not only clarify the current state and challenges of AI-driven digital twins in maintenance but also offer a practical roadmap for accelerating their industrial implementation. This work advances the field by integrating insights from both academic research and industrial practice, offering concrete recommendations to support the practical realization of smart and sustainable maintenance practices. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:47","2025-11-20 12:00:55","","678-699","","","82","","J Manuf Syst","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier B.V.","","C:\Users\jvcte\Zotero\storage\6DDJF82G\Chen et al. - 2025 - AI-enhanced digital twins in maintenance Systematic review, industrial challenges, and bridging res.pdf","","Artificial intelligence; Engineering education; Systematic literature review; Digital twins; Data integration; Digital twin; Predictive maintenance; Gap analysis; Prescriptive maintenance; Predictive analytics; Engineering research; Industrial research; Systematic Review; Academic research; Industrial adoption; Industrial challenges; Industrial implementation; Maintenance strategies; Personnel; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQHYP64S","journalArticle","2025","Massaro, A.","Electronic Artificial Intelligence and Digital Twins in Industry 5.0: A Systematic Review and Perspectives","Machines","","20751702 (ISSN)","10.3390/machines13090755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017090734&doi=10.3390%2Fmachines13090755&partnerID=40&md5=cca26277ff5f00407bca2077f6ce4268","This review analyzes the Electronic Digital Twin (EDT) tools characterizing the industrial transformation phase from Industry 4.0 to Industry 5.0. The goal is to provide innovative research EDT solutions to integrate in manufacturing production processes. Specifically, this research is focused on the possibility of combining the advanced technologies and electronics and mechatronics of industrial machines with Artificial Intelligence (AI) algorithms. Furthermore, this review provides important elements about possible future implementations of AI-EDTs and some circuital examples to support the understanding of the concept of circuit simulation in EDT models. EDTs are useful to comprehend the modeling concepts functional to the AI application using the output of the circuit simulations. The output of the circuit is used to train the AI model, thus strengthening the capability to classify and predict the real behavior of production machines with a good accuracy. This review discusses perspectives, limits, and advantages of EDTs and is useful to define new research patterns integrating structured EDTs in advanced industrial environments. The focus of this paper is the definition of possible perspectives of EDT implementations, including AI, in data-driven processes in specific strategic areas of industrial research by classifying the scientific topics in six main pillars. This paper is also suitable for the researcher to develop innovative topics for projects scaled into different work packages based on EDT facilities. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:48","2025-11-19 21:43:58","","","","9","13","","Mach.","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","C:\Users\jvcte\Zotero\storage\MUJU5L4B\Massaro - 2025 - Electronic Artificial Intelligence and Digital Twins in Industry 5.0 A Systematic Review and Perspe.pdf","","Industry 5.0; advanced manufacturing modeling; AI-based modeling; Electronic Digital Twins; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5DW7CSCF","journalArticle","2025","Arin, I.A.; Murad, D.F.; Warnars, H.L.H.S.","Digital Twin Integration in Field Service Management: A Hybrid Systematic Literature Review and Bibliometric Analysis (2017-2024)","International Journal of Sustainable Development and Planning","","17437601 (ISSN); 1743761X (ISSN)","10.18280/ijsdp.200801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018889828&doi=10.18280%2Fijsdp.200801&partnerID=40&md5=a6858ecf572b9ea40e2bd53c60298ce0","Field Service Management (FSM) is undergoing a significant transformation through digital twin technology integration. This study employs a hybrid methodological framework combining systematic literature review (SLR) and bibliometric analysis to examine 166 scholarly publications from 2017-2024. Our findings reveal: (1) a 23.7% compound annual growth rate in FSM research with distinct evolution phases from basic digitization to intelligent integration; (2) digital twin technology emerging as the most transformative innovation in FSM, enabling unprecedented 99.9% network uptime in telecommunications infrastructure; (3) a three-stage maturity model for digital twin implementation (virtual modeling, real-time synchronization, predictive optimization); and (4) implementation barriers including technological integration challenges (38.5%) and organizational resistance (32.4%). The research identifies artificial intelligence integration (42.8%) and autonomous service delivery (35.6%) as dominant future directions for digital twin applications in FSM. This study contributes to information systems theory by mapping the intellectual structure of FSM knowledge and offering the first comprehensive digital twin integration framework for FSM implementation, while providing practitioners with evidence-based strategies for achieving quantifiable operational improvements, particularly in telecommunications infrastructure management. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:50","2025-11-20 12:15:25","","3155-3169","","8","20","","Int. J. Sustainable Dev. Plann.","","","","","","","","English","","","Scopus","","","","Publisher: International Information and Engineering Technology Association","","C:\Users\jvcte\Zotero\storage\Z5U9Q9DD\Arin et al. - 2025 - Digital Twin Integration in Field Service Management A Hybrid Systematic Literature Review and Bibl.pdf","","artificial intelligence; innovation; literature review; digitization; bibliometric analysis; digital twin technology; field service management (FSM); growth rate; infrastructure; systematic literature review (SLR); technological change; technology integration; telecommunication; telecommunication infrastructure; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4U3Y96H4","journalArticle","2025","Palley, B.; Poças Martins, J.; Bernardo, H.; Rossetti, R.","Integrating Machine Learning and Digital Twins for Enhanced Smart Building Operation and Energy Management: A Systematic Review","Urban Science","","24138851 (ISSN)","10.3390/urbansci9060202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008981432&doi=10.3390%2Furbansci9060202&partnerID=40&md5=2278f284959edfdce4dad18669402efe","Artificial Intelligence has recently expanded across various applications. Machine Learning, a subset of Artificial Intelligence, is a powerful technique for identifying patterns in data to support decision making and managing the increasing volume of information. Simultaneously, Digital Twins have been applied in several fields. In this context, combining Digital Twins, Machine Learning, and Smart Buildings offers significant potential to improve energy efficiency and operational effectiveness in building management. This review aims to identify and analyze studies that explore the application of Machine Learning and Digital Twins for operation and energy management in Smart Buildings, providing an updated perspective on these rapidly evolving topics. The methodology follows the PRISMA guidelines for systematic reviews, using Scopus and Web of Science databases. This review identifies the main concepts, objectives, and trends emerging from the literature. Furthermore, the findings confirm the recent growth in research combining Machine Learning and Digital Twins for building management, revealing diverse approaches, tools, methods, and challenges. Finally, this paper highlights existing research gaps and outlines opportunities for future investigation. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:52","2025-11-19 21:03:35","","","","6","9","","Urban. Sci.","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","C:\Users\jvcte\Zotero\storage\NEKDF77H\Palley et al. - 2025 - Integrating Machine Learning and Digital Twins for Enhanced Smart Building Operation and Energy Mana.pdf","","machine learning; energy management; digital twins; smart buildings; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X2RYXN8W","journalArticle","2025","Gaffinet, B.; Al Haj Ali, J.; Naudet, Y.; Panetto, H.","Human Digital Twins: A systematic literature review and concept disambiguation for industry 5.0","Computers in Industry","","01663615 (ISSN)","10.1016/j.compind.2024.104230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213848996&doi=10.1016%2Fj.compind.2024.104230&partnerID=40&md5=91e614ad93f82aa9749e6d781c80f36b","Human Digital Twins (HDTs) are an emerging concept with the potential to create human-centric systems for Industry 5.0. The concept has rapidly spread to new application domains, most notably Healthcare, leading to diverging conceptual interpretations. This Systematic Literature Review analyses the conceptual understanding of HDTs across all application domains to clarify the conceptual foundation. Our review reveals a consensus that an HDT's twinned entity is a human individual. However, there is little agreement on the data flows between the individual and their HDT. We address this shortcoming by proposing three categories based on the level of data integration: Human Digital Models, Human Digital Shadows, and Human Digital Twins. Finally, we synthesise our findings in a domain-agnostic general definition for HDT. We highlight an edge case where the twinned entity is a human individual alongside a strongly coupled technical system, and name it augmented Human Digital Twin (aHDT). The definition and categorisation scheme provide the needed conceptual clarity for inter-disciplinary collaboration to address open challenges. Notable challenges are sensing human data, reliable data transfers and modelling, especially behavioural modelling. Additional ethical issues concerning security, privacy and consent are central to successful HDT adoption. We call for cross-disciplinary efforts to establish a standardised framework and ethical guidelines to enable future developments. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:53","2025-11-20 11:35:53","","","","","166","","Comput Ind","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier B.V.","","C:\Users\jvcte\Zotero\storage\D8VMNZ7Y\Gaffinet et al. - 2025 - Human Digital Twins A systematic literature review and concept disambiguation for industry 5.0.pdf","","Systematic literature review; Digital Twin; Industry 5.0; Human Digital Twin; Human-centricity; Applications domains; Conceptual foundations; Conceptual understanding; Dataflow; Human centricities; Human digital twin; Human-centric; New applications; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
