Database,Type,Num,LOG,DT.DBQ2.01,DT.DBQ2.02,DT.DBQ2.03,DT.DBQ2.04,DT.DBQ2.05,DT.DBQ2.06,DT.DBQ2.07,DT.DBQ2.08,DT.DBQ2.09,DT.DBQ2.10,DT.DBQ2.11,DT.DBQ2.12,DT.DBQ2.13,DT.DBQ2.14,DT.DBQ2.15,DT.DBQ2.16,DT.DBQ2.17,DT.DBQ2.18,DT.DBQ2.19,DT.DBQ2.20,DT.DBQ2.21,DT.DBQ2.22,DT.DBQ2.23,DT.DBQ2.24,DT.DBQ2.25,DT.DBQ2.26,DT.DBQ2.27,DT.DBQ2.28,DT.DBQ2.29,DT.DBQ2.30,DT.DBQ2.31,DT.DBQ2.32,DT.DBQ2.33,DT.DBQ2.34,DT.DBQ2.35,DT.DBQ2.36,DT.DBQ2.37,DT.DBQ2.38,DT.DBQ2.39,DT.DBQ2.40,DT.DBQ2.41,DT.DBQ2.42,DT.DBQ2.43,DT.DBQ2.44,DT.DBQ2.45,DT.DBQ2.46,DT.DBQ2.47,DT.DBQ2.48,DT.DBQ2.49,DT.DBQ2.50,DT.DBQ2.51,DT.DBQ2.52,DT.DBQ2.53,DT.DBQ2.54,DT.DBQ2.55,Frequência,Rank,Log(F),Log(R),C,Percentual,Cumulative
Scopus,DB,1,"0,000",1,,1,1,,,,,,1,1,1,1,1,1,,1,1,1,1,,,1,,1,1,,1,,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,,1,,,,,,,32,1,"1,505149978",0,"1,505149978","20,38%","20,38%"
Web of Science,DB,2,"0,301",1,1,,,,,,1,,1,,1,1,1,1,,1,,1,1,,,1,1,1,1,,1,1,,1,,1,,1,1,1,,,,,1,1,,,,1,,1,1,,,,,,27,2,"1,431363764","0,3010299957","1,73239376","17,20%","37,58%"
IEEE Xplore,DB,3,"0,477",1,1,1,1,1,,1,,,1,,1,,1,,,1,,,,,1,1,1,1,1,,,,,,,,1,,1,,,1,,1,1,,1,,,,,,,,,,,,21,3,"1,322219295","0,4771212547","1,799340549","13,38%","50,96%"
Science Direct,DB,4,"0,602",,,1,1,1,,,1,,1,,1,1,1,,,,1,1,,,1,,,,,,,,,,,,1,,,,1,1,,1,,,1,,,,,1,,,,,,,17,4,"1,230448921","0,6020599913","1,832508913","10,83%","61,78%"
ACM,DB,5,"0,699",,1,1,1,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,1,,1,,,1,,1,,,1,,,,,,,,,,,,12,5,"1,079181246","0,6989700043","1,77815125","7,64%","69,43%"
Google Scholar,ST,6,"0,778",,,,1,1,1,,,1,1,,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,11,6,"1,041392685","0,7781512504","1,819543936","7,01%","76,43%"
Springer Link,DB,7,"0,845",,,1,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,7,7,"0,84509804","0,84509804","1,69019608","4,46%","80,89%"
Elsevier,DB,8,"0,903",,1,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,8,"0,7781512504","0,903089987","1,681241237","3,82%","84,71%"
Taylor & Francis,DB,9,"0,954",,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,9,"0,6020599913","0,9542425094","1,556302501","2,55%","87,26%"
Willey,DB,10,"1,000",,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,10,"0,4771212547",1,"1,477121255","1,91%","89,17%"
