"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Construction of Digital Twin Model of Data Center and Its Application in Visualization System","X. Jun; C. Hai; F. Min","SGIT-UNI (QingDao) Cloud Data Technology Co., Ltd., Beijing, PRC; SGIT-UNI (QingDao) Cloud Data Technology Co., Ltd., Beijing, PRC; SGIT-UNI (QingDao) Cloud Data Technology Co., Ltd., Beijing, PRC",2024 13th International Conference of Information and Communication Technology (ICTech),"5 Mar 2025","2024","","","424","428","This study is devoted to the construction of digital twin model of data center and its application in visualization system. Through the comprehensive modeling of data center hardware, software, network and energy, the digital twin model is constructed as a highly accurate and real-time updated virtual entity. By keeping pace with the actual data center, the model provides decision makers with in-depth insight into the running state of the system. In the process of constructing the digital twin model, this study adopts event-driven update mechanism and timing update mechanism to ensure the accuracy and real-time performance of the model. In addition, 3D modeling technology is introduced to present the digital twin model to managers in an intuitive and realistic way, which improves the user experience. The application of digital twin model is not only reflected in resource management, performance monitoring and capacity planning, but also plays an important role in visualization system. Through the visualization system, decision makers can monitor the running status of data centers in real time, analyze historical trends, and obtain key information related to their responsibilities through user-customized views. Through a successful case study, this study shows the value of digital twin model in the actual data center, and provides a powerful tool for data center managers to help them better understand, optimize and make decisions. This research provides beneficial experience and enlightenment for the application of digital twin technology in data center management.","","979-8-3503-7625-8","10.1109/ICTech63197.2024.00083","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10900830","visualization system;digital twin model;data center","Data centers;Three-dimensional displays;Data visualization;Data models;Real-time systems;Software;Hardware;Digital twins;Resource management;Monitoring","","","","12","IEEE","5 Mar 2025","12-14 April 2024","12-14 April 2024","IEEE","IEEE Conferences"
"Digital Twin for Predictive Anomaly Detection in Data Center Cooling Systems: A Modelica-Based Approach with Synthetic Data Generation","S. Polyakov; V. Borisov; M. Hushchyn; Y. Chernyshov; A. Manzhurov; M. Ronkin","Ural Federal University, Yekaterinburg, Russia; Ural Federal University, Yekaterinburg, Russia; HSE University, Moscow, Russia; LLC ""KIT"", Yekaterinburg, Russia; HSE University, Moscow, Russia; Ural Federal University, Yekaterinburg, Russia",2025 IEEE XVII International Scientific and Technical Conference on Actual Problems of Electronic Instrument Engineering (APEIE),"18 Dec 2025","2025","","","1","6","Data centers are critical energy-intensive infrastructures where cooling systems account for up to 40% of total energy consumption. While refrigerant leaks are a known issue, gradual air-side fouling and clogging of condensers present a more insidious and costly challenge, leading to persistent energy waste and a significant carbon footprint. The development of predictive machine learning (ML) models for early detection of such anomalies is hampered by the scarcity of labeled real-world performance degradation data. This paper addresses this challenge by proposing a digital twin framework for a DC cooling system. The core of the twin is a high-fidelity dynamic model developed in OpenModelica using the DLR ThermoFluidStream library, capable of simulating both standard operational regimes and the slow progression of condenser fouling. We present an efficient two-stage methodology for generating realistic synthetic training data: Initial simulation in OpenModelica is followed by a Python-based postprocessing stage where sensor noise is synthesized and applied via identified system transfer functions. This approach achieves a 300-fold speedup compared to native stochastic cosimulation, enabling the rapid creation of large, labeled datasets. The resulting digital twin serves as a versatile tool for training robust ML models to detect efficiency loss, testing energy-optimizing control algorithms, and conducting safe ""what-if"" analyses during the design phase, ultimately enhancing DC resilience and energy efficiency.","2473-8573","979-8-3315-5916-8","10.1109/APEIE66761.2025.11289453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11289453","Digital Twin;Data Center Cooling;Synthetic Data Generation;Dynamic Modeling;Condenser Fouling;OpenModelica","Degradation;Training;Data centers;Cooling;Atmospheric modeling;Predictive models;Data models;Digital twins;Synthetic data;Testing","","","","16","IEEE","18 Dec 2025","14-16 Nov. 2025","14-16 Nov. 2025","IEEE","IEEE Conferences"
"Developing a Multi-Agent-Based System with Digital Twin Integration for Efficient Resource Allocation to Reduce Carbon Footprint in Data Centers","B. Varunkrishna; S. Nithish Kannaa; P. V. Saketh; J. Umamageswaran","Department of CSE, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Chennai, India; Department of CSE, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Chennai, India; Department of CSE, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Chennai, India; Department of CSE, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Chennai, India",2025 6th International Conference on Recent Advances in Information Technology (RAIT),"30 Jul 2025","2025","","","1","6","This digital world of ours has one consumer primarily: data centers. And they consume energy - $\mathbf{1. 5}$ times the entire global economy - and significantly contribute to carbon emissions and the need for sustainability. We propose a multiagent system for the data center management. This data center management system uses agents monitoring loads of the server, energy consumption, and cooling needs. Tasks are balanced with non-preemptive priority-based scheduling, dynamic load balancing through a genetic algorithm, and adaptive cooling via Q-learning based on real-time data. Coupled with a Digital Twin, a real-time virtual model of the data center, predictive analysis and optimization of resource allocations and cooling strategies improve decision-making and efficiency. Realistic data center traces in simulations indicate 13% energy use reduction, 15% fewer carbon emissions, and a cost-saving of $10 \%$, which can point towards the untapped potential intelligent MAS and digital twin integration holds for the sustainable management of data centers.","2994-287X","979-8-3315-2480-7","10.1109/RAIT65068.2025.11089079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11089079","Data Center Management;Multi-Agent System (MAS);Energy Consumption;Carbon Emissions;Sustainable Computing;Priority-Based Scheduling;Genetic Algorithm;Dynamic Load Balancing;Q-Learning","Data centers;Q-learning;Cooling;Carbon dioxide;Dynamic scheduling;Real-time systems;Digital twins;Resource management;Multi-agent systems;Load modeling","","","","18","IEEE","30 Jul 2025","6-8 March 2025","6-8 March 2025","IEEE","IEEE Conferences"
"Machine Learning-Optimized Load Balancing Algorithm for Indian Data Centers","S. Maheboob; N. R. Rao; N. Bonsale; R. Tomar; S. S; N. A. N. Al Said","Department : CSE, Marri Laxman Reddy Institute of Technology and Management, Hyderabad; Computer Science and Engineering, BVRIT Hyderabad College of Engineering for Women; Information Technology, Bharati Vidyapeeth's College of Engineering for Women, Pune; University Institute of Computing, Chandigarh University Chandigarh University, Mohali, Punjab, India; Computer Science and Engineering, Dr.Thimmaiah Institute of Technology; College of Mass Communication, Ajman University, Ajman, UAE",2025 International Conference on Recent Innovation in Science Engineering and Technology (ICRISET),"28 Nov 2025","2025","","","1","6","This paper has tried to develop a machine learning-optimized load balancing algorithm that would apply specifically to an Indian data center with the expectation of improving performance, efficiency, and scalability. The method consists of Multi-Agent Deep Reinforcement Learning (MADRL) to address the decentralized decision-making problem, Federated LSTM Forecasting to produce quality and privacy-preserving workload forecasting and Digital Twin Simulation to simulate and test the system learning in a realistic virtual environment. The system is implemented based on the Ray RLlib framework that allows the intelligent distribution of tasks of geographically distributed data centers and works with local energy allocation and data privacy laws. The achieved result using the experimental assessment shows substantial benefits such as a decrease in response time, increase in CPU usage, low power consumption, and fewer SLA violations inclusive of the standard approaches Round Robin and Static Heuristics. The combination of federated learning will make sure that the data is localized, and the digital twin to facilitate low-risk, low-cost testing. The findings point towards the success of the proposed framework as an extendable and flexible approach towards new-age Indian data center systems.","","979-8-3315-5833-8","10.1109/ICRISET64803.2025.11252250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11252250","Load Balancing;Deep Reinforcement Learning;Federated Forecasting;Indian Data Centers;Digital Twin Simulation;Ray RLlib;Resource Optimization","Data centers;Machine learning algorithms;Load management;Deep reinforcement learning;Digital twins;Time factors;Resource management;Forecasting;Round robin;Long short term memory","","","","18","IEEE","28 Nov 2025","1-2 Aug. 2025","1-2 Aug. 2025","IEEE","IEEE Conferences"
"Deep Learning Algorithms for Predictive Maintenance in Data Centers","G. R. Kiran; M. Saxena; A. Seekoli; C. S. Reddy; S. Vemuri; R. Joshi","School of CS & AI, SR University, Warangal, Telangana; Department of Computer Science & Engineering, SRM Institute of Science & Technology, Ghaziabad, Uttar Pradesh, India; CSE, St. Martins Engineering College; Department of Information Technology, Vignan's Institute of Information, Technology (A), Visakhapatnam; Computer Engineering, New Horizon Institute of Technology and Management; Department of Journalism & Mass Communication, SMeH, Manav Rachna International Institute of Research and Studies, Haryana, India",2025 International Conference on Computing Technologies & Data Communication (ICCTDC),"22 Sep 2025","2025","","","1","6","Due to the quick development of cloud services and enterprise information., the dependability and opening of information area foundation has turned out to be mission critical. Deep learning algorithms in predictive maintenance help data centers run components longer and avoid system interruptions. The aim of this study is to propose a deep learning-based predictive maintenance framework using real-time sensor data collected from Internet of Things (IoT) devices embedded in equipment used in data centers. The system uses a CNN-LSTM model to examine equipment spatial and temporal data patterns to estimate failure events before they happen. The local features can be extracted from multivariate sensor inputs by CNN., and the LSTM is able to effectively capture the dynamically sequential behavior in time to estimate the Remaining Useful Life (RUL) and detect anomaly. Such an approach results in a lower number of unplanned outages., better utilization of resources and better overall operation of the data center. Future directions are extended to edge environments and integration with BIM systems for full digital twin application.","","979-8-3315-2798-3","10.1109/ICCTDC64446.2025.11159024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11159024","Deep learning;predictive maintenance;data centers;sensor data analysis;failure prediction;CNN-LSTM model;equipment health monitoring","Deep learning;Data centers;Accuracy;Feature extraction;Prediction algorithms;Data models;Real-time systems;Internet of Things;Long short term memory;Predictive maintenance","","","","15","IEEE","22 Sep 2025","4-5 July 2025","4-5 July 2025","IEEE","IEEE Conferences"
"Digital Twin for Telecommunications & Data Center Power Systems","F. Bodi","Fixed Network Services Ventia, Melbourne, Australia",2025 IEEE International Communications Energy Conference (INTELEC),"29 Oct 2025","2025","","","80","84","This paper will present new developments in the application of a digital twin for 48VDC telecommunications power systems and data centers. This work was fueled by Ventia’s long partnership with Telstra, Australia’s largest telco. Output from Ventia's digital twin has been in use by our clients for about 5 years providing monthly network resilience data.Our previous work[1] showed promising early results but with limitations imposed by the vast amounts of data processing required. We report that over 2 hours of computer processing have reduced to just tens of seconds. This advance has allowed new applications to be developed.The paper will describe the application of the digital twin to an annual battery replacement program. A complex problem facing all Telcos is estimating the cost/resilience tradeoff – how much resilience does your capex dollar buy? The available funding for battery replacements must be balanced against competing capital programs. This development has enabled the digital twin to accept a dollar amount to forecast a desired level of resiliency. We will show that it is possible to declare a capital battery budget to produce a defined forecast change in network resilience. Ventia has used this feature to be able to advise clients of the minimum level of funding for battery replacements needed to maintain network resiliency. The interest in digital twins has increased markedly in recent years but few have reported practical and useful outcomes. Results will be presented to show that the resilience of power system assets as described by the digital twin provides up to three years advance warning over more traditional legacy metrics.","","979-8-3315-9136-6","10.1109/INTELEC63987.2025.11214737","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11214737","digital twin;resilience;capex;battery;data center;simulation;life cycle replacement;asset management","Measurement;Data processing;Digital twins;Batteries;Telecommunications;Asset management;Resilience;Data center power","","","","2","IEEE","29 Oct 2025","12-15 Oct. 2025","12-15 Oct. 2025","IEEE","IEEE Conferences"
"Digital Twin Technology in University Data Centers: A Model for Operational Efficiency and Sustainability","V. Vaccaro; L. C. Tagliabue","Polytechnic University of Milan, Milan, Italy; Department of Computer Science, University of Turin, Turin, Italy","2025 33rd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing (PDP)","29 Apr 2025","2025","","","494","498","The increasing energy demand of data centers poses a significant challenge for universities and public and private organizations striving to optimize energy resources and reduce environmental impact. Developing a digital twin for the Department of Computer Science data center at the University of Turin represents a strategic approach to advanced monitoring and management. Specifically, the digital twin allows for the integration of real-time data with dynamic simulations, providing an accurate virtual representation of the data center. This model enables real-time energy load analysis, temperature distribution monitoring, and the simulation of corrective actions to improve HVAC system efficiency, optimize rack layout, and reduce cooling and ventilation energy consumption. The organization of the energy model requires a precise and complex structure, beginning with the modeling of the physical components of the data center and extending to the detailed simulation of thermal flows and zone interactions. The model configuration includes creating distinct thermal zones for hot and cold aisles, racks, and plenums to accurately reflect internal thermal exchange patterns. Integration with dynamic simulation tools enables precise parameter calibration to yield accurate performance and consumption predictions and provides a safe environment to test innovative technologies without impacting physical infrastructure. A digital twin also offers substantial opportunities for predictive maintenance, allowing timely interventions to prevent failures, and reduces operational costs through the simulation of optimization scenarios. In terms of sustainability, it facilitates life cycle analysis and carbon footprint reduction. Consequently, developing a digital twin for the University of Turin data center not only enhances system reliability and sustainability but also serves as a replicable example for other similar-sized facilities.","2377-5750","979-8-3315-2493-7","10.1109/PDP66500.2025.00076","European Innovation Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10974802","Data Center Modeling;Dynamic Thermal Simulation;Energy Efficiency;Sustainable Data Centers;Digital Twin;Energy Optimization;Sustainability Metrics","Life cycle assessment;Data centers;Analytical models;Adaptation models;Predictive models;Data models;Real-time systems;Digital twins;Sustainable development;Load modeling","","","","14","IEEE","29 Apr 2025","12-14 March 2025","12-14 March 2025","IEEE","IEEE Conferences"
"A knowledge graph based construction method for Digital Twin Network","Y. Zhu; D. Chen; C. Zhou; L. Lu; X. Duan","Department of Basic Network Technology, China Mobile Research Institute, Beijing, China; Department of Basic Network Technology, China Mobile Research Institute, Beijing, China; Department of Basic Network Technology, China Mobile Research Institute, Beijing, China; Department of Basic Network Technology, China Mobile Research Institute, Beijing, China; Department of Basic Network Technology, China Mobile Research Institute, Beijing, China",2021 IEEE 1st International Conference on Digital Twins and Parallel Intelligence (DTPI),"22 Sep 2021","2021","","","362","365","With the advent of the digital age, digital twin as a new potential technology has received much attention from both academia and industry increasingly. Digital twin technology paves a way for achieving cost-efficient trial and performance-optimal management, through creating a virtual representation of physical network digitally to simulate and predict. In this paper, we propose a novel network paradigm, called digital twin network (DTN) architecture for the future network, which consists of Physical Network, Data Lake, Digital Twin Layer and Network Application Layer. A Sketch acquisition algorithm is introduced to meet the demand of large-scale real-time data collection in Data Lake. A digital twin network construction method based on knowledge graph is developed, which can represent entity attribute and various topologies according to physical network. Finally, the proposed DTN is introduced to realize fault self-healing in the future network, and the feasibility and novelty is proved.","","978-1-6654-3337-2","10.1109/DTPI52967.2021.9540177","National Key Research and Development Program of China(grant numbers:2020YFB1806801,2020YFB1806800); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9540177","digital twin network;knowledge graph;artificial intelligence","Knowledge engineering;Industries;Digital twin;Lakes;Network architecture;Data collection;Prediction algorithms","","44","","16","IEEE","22 Sep 2021","15 July-15 Aug. 2021","15 July-15 Aug. 2021","IEEE","IEEE Conferences"
"Sensitivity Analysis of a Calibrated Data Center Model to Minimize the Site Survey Effort","S. Singh; K. Nemati; V. Simon; A. Siddarth; M. Seymour; D. Agonafer","University of Texas at Arlington, Arlington, TX, US; Future Facilities Ltd., New York, NY, US; University of Texas at Arlington, Arlington, TX, US; University of Texas at Arlington, Arlington, TX, US; Future Facilities Ltd.,, London, UK; University of Texas at Arlington, Arlington, TX, US","2021 37th Semiconductor Thermal Measurement, Modeling & Management Symposium (SEMI-THERM)","20 Apr 2021","2021","","","50","57","To reproduce a Digital Twin (DT) of a data center (DC), input data is required which is collected through site surveys. Data collection is an important step since accurate representation of a DC depends on capturing the necessary detail for various model fidelity levels of each DC component. However, guidance is lacking in this regard as to which components within the DC are crucial to achieve the level of accuracy desired for the computational model. And determining the input values of the component object parameters is an exercise in engineering judgement during site survey. Sensitivity analysis can be an effective methodology to determine how the level of simplification in component models can affect the model accuracy.In this study, a calibrated raised-floor DC model is used to study the sensitivity of a DC component's representation to the DC model accuracy. Commercial CFD tool, 6SigmaDC Room is used for modeling and simulation. A total of 8 DC components are considered and eventually ranked on the basis of time and effort required to collect model input data. For parametrized component object, the object's full range of input parameter values are considered, and simulations run. The results are compared with the baseline calibrated model to understand the trade-off between survey effort/cost and model accuracy. For the calibrated DC model and of the 8 components considered, it was observed that the chilled water piping branches, data cables and the cable penetration seal (found within cabinets) have considerable influence on the tile flow rate prediction accuracy.","","978-1-7355325-1-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9406090","Digital Twin;data center;calibration;sensitivity","Analytical models;Data centers;Sensitivity analysis;Computational modeling;Tools;Data models;Communication cables","","2","","14","","20 Apr 2021","22-26 March 2021","22-26 March 2021","IEEE","IEEE Conferences"
"Lessons Learned in Establishing an Environmental Digital Twin","T. Mansfield; J. Wihsgott; J. Skakala; P. Menon; E. Gardner; S. Kay; M. Palmer","Digital Innovation and Marine Autonomy, Plymouth Marine Laboratory, Plymouth, UK; Marine Biogeochemistry and Observations, Plymouth Marine Laboratory, Plymouth, UK; Marine System Modelling Plymouth Marine Laboratory, Plymouth, UK; Faculty of Environment, Science and Economy University of Exeter, Exeter, UK; British Oceanographic Data Centre, National Oceanography Centre, Liverpool, UK; Marine System Modelling Plymouth Marine Laboratory, Plymouth, UK; Digital Innovation and Marine Autonomy, Plymouth Marine Laboratory, Plymouth, UK",OCEANS 2025 Brest,"11 Aug 2025","2025","","","1","10","Phytoplankton blooms are an important component of marine ecosystems and present both positive and negative impacts on ecosystem services and the blue economy, yet their triggers and effects throughout the water column remain poorly understood and difficult to predict. The SyncED-Ocean project deployed a digital twin for a two-month period during summer 2024. This digital twin integrated Earth Observation (EO) data with in-situ measurements from autonomous, crewed, and fixed ocean platforms. A modular data analysis toolbox was developed to cross-calibrate EO and in-situ data, ensuring quality-controlled assimilation into a virtual twin model at daily intervals. Forecasts and nowcasts generated by the virtual twin model were analysed by AI-driven applications to optimise future data collection by generating and transmitting mission plans to autonomous underwater vehicles in real-time. This closed-loop digital twin system provided optimised high spatial and temporal resolution data suitable for detecting phytoplankton blooms and related deoxygenation events as they emerge. Key lessons from the deployment highlight the need for rigorous engineering in data integration and management, ensuring resilience against erroneous data. Trade-offs between data timeliness and quality necessitated redesigning workflows to meet strict operational timeframes while maintaining data integrity. Additionally, despite automation, human-on-the-loop monitoring remained essential for overseeing data pipelines and machine learning decision-making. These insights provide valuable guidance for future environmental digital twins, enhancing scientific understanding and supporting sustainable marine management. The SyncED-Ocean experience underscores the transformative potential of AI, marine autonomy, and digital twins in improving marine ecosystem monitoring, management and economic resilience.","","979-8-3315-3747-0","10.1109/OCEANS58557.2025.11104760","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11104760","Digital Twins of the oceans;data assimilation;data fusion;artificial intelligence;data visualisation;marine autonomy","Analytical models;Oceans;Data integration;Phytoplankton;Marine ecosystems;Data models;Digital twins;Spatial resolution;Monitoring;Resilience","","","","14","IEEE","11 Aug 2025","16-19 June 2025","16-19 June 2025","IEEE","IEEE Conferences"
